"owm_city_id","lat_long_id","city_name","state","country","timezone"
5781813,201757,South Willard,UT,US,America/Denver
5782055,201758,Stansbury park,UT,US,America/Denver
5541403,201150,Junction,UT,US,America/Denver
5774301,114943,East Millcreek,UT,US,America/Denver
5775438,105474,Greenville,UT,US,America/Denver
5539555,201143,Genola,UT,US,America/Denver
5540810,201147,Huntington,UT,US,America/Denver
5773126,105469,Colonial Gardens Condominium,UT,US,America/Denver
5774135,201710,Duchesne,UT,US,America/Denver
5777915,36048,Mapleton,UT,US,America/Denver
5784504,201765,West Bountiful,UT,US,America/Denver
5774662,114944,Farmington,UT,US,America/Denver
5782320,201760,Sunset,UT,US,America/Denver
5778261,201734,Midway,UT,US,America/Denver
5779333,201743,Oquirrh,UT,US,America/Denver
5542758,201154,Manti,UT,US,America/Denver
5543146,201155,Milford,UT,US,America/Denver
5549318,105477,Wayne County,UT,US,America/Denver
5772959,114938,Clearfield,UT,US,America/Denver
5778898,201740,Nibley,UT,US,America/Denver
5780020,201748,Providence,UT,US,America/Denver
5776715,114948,Kaysville,UT,US,America/Denver
5777855,201731,Manila,UT,US,America/Denver
5546452,201168,Santaquin,UT,US,America/Denver
5784270,36033,Wallsburg,UT,US,America/Denver
5543307,201156,Moab,UT,US,America/Denver
5781087,114966,Saratoga Springs,UT,US,America/Denver
5784685,1399,Wheadon Acres,UT,US,America/Denver
5783768,201761,Tremonton,UT,US,America/Denver
5781765,114967,South Jordan Heights,UT,US,America/Denver
5781770,114968,South Jordan,UT,US,America/Denver
5784154,201763,Vernal,UT,US,America/Denver
7156618,30558,Bryce Canyon City,UT,US,America/Denver
5776087,201722,Honeyville,UT,US,America/Denver
5784227,36014,Vivian Park,UT,US,America/Denver
5784580,201768,West Point,UT,US,America/Denver
5536454,36407,Carbon County,UT,US,America/Denver
5544402,201162,Orangeville,UT,US,America/Denver
5777224,114951,Lehi,UT,US,America/Denver
5778379,201735,Millville,UT,US,America/Denver
5771826,114935,Bountiful,UT,US,America/Denver
5772317,105473,Cache County,UT,US,America/Denver
5778887,36569,Newport Haven,UT,US,America/Denver
5784540,201766,West Haven,UT,US,America/Denver
5538668,201135,East Carbon City,UT,US,America/Denver
5540026,201144,Gunnison,UT,US,America/Denver
5541458,201151,Kanab,UT,US,America/Denver
5774456,201711,Elk Ridge,UT,US,America/Denver
5775081,201717,Garland,UT,US,America/Denver
5545269,36408,Price,UT,US,America/Denver
5547484,201169,Spring Glen,UT,US,America/Denver
5775931,105476,Hillside Estates,UT,US,America/Denver
5534620,201130,Aurora,UT,US,America/Denver
5773304,114940,Cottonwood Heights,UT,US,America/Denver
5784731,201769,White City,UT,US,America/Denver
5776692,201726,Kamas,UT,US,America/Denver
5784562,36568,West Layton,UT,US,America/Denver
5543360,201157,Monroe,UT,US,America/Denver
5777956,201732,Marriott-Slaterville,UT,US,America/Denver
5784025,36013,Utah County,UT,US,America/Denver
5784853,201771,Willard,UT,US,America/Denver
5777780,201730,Maeser,UT,US,America/Denver
5539372,201142,Fountain Green,UT,US,America/Denver
5784610,30628,Reese,UT,US,America/Denver
5784549,114976,West Jordan,UT,US,America/Denver
5541028,36641,Iron Springs,UT,US,America/Denver
5780699,201753,Roosevelt,UT,US,America/Denver
5774482,201712,Elwood,UT,US,America/Denver
5774886,36042,Foothills,UT,US,America/Denver
5781993,114972,Springville,UT,US,America/Denver
5548621,201170,Toquerville,UT,US,America/Denver
5772151,105481,Buena Vista,UT,US,America/Denver
5774685,201714,Farr West,UT,US,America/Denver
5775615,201720,Harrisville,UT,US,America/Denver
5781809,201756,South Weber,UT,US,America/Denver
5548441,33328,Three Forks,UT,US,America/Denver
5771337,201704,Benson,UT,US,America/Denver
5776727,114949,Kearns,UT,US,America/Denver
5777244,201727,Lewiston,UT,US,America/Denver
5781551,201754,Smithfield,UT,US,America/Denver
5783914,201762,Uintah,UT,US,America/Denver
5540831,201148,Hurricane,UT,US,America/Denver
5549222,17453,Washington,UT,US,America/Denver
5775782,114945,Herriman,UT,US,America/Denver
5773664,36567,Davis County,UT,US,America/Denver
